Book Id,Title,Author,Author l-f,Additional Authors,ISBN,ISBN13,My Rating,Publisher,Binding,Number of Pages,Year Published,Original Publication Year,Date Read,Date Added,Bookshelves,Bookshelves with positions,Exclusive Shelf,My Review,Spoiler,Private Notes,Read Count,Owned Copies
16123197,"The Intellectual Devotional: Revive Your Mind, Complete Your Education, and Roam Confidently with the Cultured Class",David S. Kidder,"Kidder, David S.",Noah D. Oppenheim,"=""1435137647""","=""9781435137646""",0,"Rodale, Inc., Barnes and Noble, Inc.",Hardcover,377,2012,2006,,2025/02/02,to-read,to-read (#477),to-read,,,,0,0
96593,The Success Principles: How to Get from Where You Are to Where You Want to Be,Jack Canfield,"Canfield, Jack",Janet Switzer,"=""0060594896""","=""9780060594893""",0,Collins,Paperback,512,2006,,,2025/01/28,to-read,to-read (#476),to-read,,,,0,0
40921633,The New Silk Roads: The Present and Future of the World,Peter Frankopan,"Frankopan, Peter",,"=""1526607425""","=""9781526607423""",0,Bloomsbury,Hardcover,313,2018,2018,,2025/01/27,to-read,to-read (#475),to-read,,,,0,0
6508214,The Life and Works of Edgar Allan Poe: A Psycho-Analytic Interpretation,Marie Bonaparte,"Bonaparte, Marie","John Rodker, Sigmund Freud","=""""","=""""",0,Imago Pub. Co.,Hardcover,749,1949,1981,,2025/01/23,to-read,to-read (#474),to-read,,,,0,0
20055228,Politics and the English Language,George Orwell,"Orwell, George",,"=""""","=""""",5,Penguin Books,Paperback,32,2013,1946,2025/01/18,2024/12/25,bought,bought (#205),read,,,,1,0
5867430,"Oil, Water, and Climate: An Introduction",Catherine Gautier,"Gautier, Catherine",,"=""0521709199""","=""9780521709194""",0,Cambridge University Press,Paperback,408,2008,2008,,2025/01/16,to-read,to-read (#473),to-read,,,,0,0
19380,Candide,Voltaire,"Voltaire, Voltaire","Rockwell Kent, Walter Jerrold, Don Hagen, Sara Gioacchino Corcos","=""0486266893""","=""9780486266893""",0,"Dover Publications, Incorporated",Paperback,129,1991,1759,,2025/01/15,to-read,to-read (#472),to-read,,,,0,0
26764855,The Language Instinct: How the Mind Creates Language,Steven Pinker,"Pinker, Steven",,"=""014198077X""","=""9780141980775""",5,Penguin Books Ltd,Paperback,528,2015,1994,2025/01/15,2024/11/19,,,read,,,,1,0
208931300,Intermezzo,Sally Rooney,"Rooney, Sally",,"=""0374602638""","=""9780374602635""",0,"Farrar, Straus and Giroux",Hardcover,464,2024,2024,,2025/01/01,to-read,to-read (#471),to-read,,,,0,0
28225430,"The Bride of Abydos: A Turkish Tale: “If I do not write to empty my mind, I go mad.”",Lord Byron,"Byron, Lord",,"=""""","=""""",0,Portable Poetry,Kindle Edition,74,2015,1813,,2025/01/01,to-read,to-read (#470),to-read,,,,0,0
7090,The Soul of a New Machine,Tracy Kidder,"Kidder, Tracy",,"=""0316491977""","=""9780316491976""",0,"Little, Brown Paperbacks",Paperback,293,2000,1981,,2024/12/26,to-read,to-read (#469),to-read,,,,0,0
15682,A Happy Death,Albert Camus,"Camus, Albert","Richard Howard, Jean Sarocchi","=""""","=""""",0,Penguin Classics,Paperback,144,2002,1971,,2024/12/24,to-read,to-read (#468),to-read,,,,0,0
91950,The Myth of Sisyphus,Albert Camus,"Camus, Albert",Justin O'Brien,"=""""","=""""",0,Penguin Classics,Paperback,192,2013,1942,,2024/12/24,to-read,to-read (#467),to-read,,,,0,0
26153165,Writing Research Papers: A Complete Guide,James D. Lester,"Lester, James D.","Jr. Lester, James D.","=""1292076909""","=""9781292076904""",0,Pearson,Kindle Edition,416,2015,1971,,2024/12/24,to-read,to-read (#466),to-read,,,,0,0
